"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"550","ECGONINE","LCN1","SJOGREN'S SYNDROME","Medline_16249071,Patent_WO2016194014A1","Patent_US4207307,Patent_US4235864"
"551","BENZALDEHYDE","LCN1","SJOGREN'S SYNDROME","Medline_16249071,Patent_WO2016194014A1","Patent_EP1472258A1,Patent_EP1472258B1"
"552","PHENYL ACID","LCN1","SJOGREN'S SYNDROME","Medline_16249071,Patent_WO2016194014A1","Medline_17945179,Medline_24043458"
"553","COASH","LCN1","SJOGREN'S SYNDROME","Medline_16249071,Patent_WO2016194014A1","Patent_EP0904396A2,Patent_EP0904396B1"
"554","PATUPILONE","LOX","SCLERODERMA","Medline_24574233,Medline_8555021,Medline_28471599,Patent_US7112668,Patent_US20050288241,Patent_WO2002081517A2","Medline_25052686,Pmcoa_4223762"
"555","LUSEOGLIFLOZIN","LRP2","SJOGREN'S SYNDROME","Medline_28577559,Pmcoa_5455124","Pmcoa_6197731,Medline_30322799"
"556","OXYMETAZOLINE","LTB","ARTHRITIS","Patent_US5187286,Patent_US5440044,Patent_US5183925,Patent_US5196570,Patent_US5614634,Patent_US5541202,Patent_US5352701,Patent_US5414016,Patent_US5502075,Medline_18475706,Medline_19220287,Patent_US20020006922","Medline_19609065,Medline_16221739"
"557","RALTEGRAVIR","LTB4R","ARTHRITIS","Pmcoa_2118298,Medline_16670336,Medline_20656922,Medline_29042029,Pmcoa_4502828,Patent_US20110059885","Medline_27002074,Pmcoa_3887103"
"558","CP-195543","LTB4R","ARTHRITIS","Pmcoa_2118298,Medline_16670336,Medline_20656922,Medline_29042029,Pmcoa_4502828,Patent_US20110059885","Medline_14742142,Medline_10598747,Medline_15842996"
"559","EMTRICITABINE","LTB4R","ARTHRITIS","Pmcoa_2118298,Medline_16670336,Medline_20656922,Medline_29042029,Pmcoa_4502828,Patent_US20110059885","Pmcoa_3887103,Pmcoa_3380612,Pmcoa_2194746"
"560","CISATRACURIUM","MAP1LC3A","FIBROMYALGIA","Medline_26772544,Pmcoa_4715288","Pmcoa_4848971,Medline_27058536"
"561","AMIKACIN","MAP1LC3A","FIBROMYALGIA","Medline_26772544,Pmcoa_4715288","Pmcoa_3620219,Medline_23723573"
"562","CLEMASTINE FUMARATE","MAP1LC3A","FIBROMYALGIA","Medline_26772544,Pmcoa_4715288","Pmcoa_4994328,Medline_27549088"
"563","REVERSINE","MAP1LC3A","FIBROMYALGIA","Medline_26772544,Pmcoa_4715288","Pmcoa_4934785,Pmcoa_3299600"
"564","RILMENIDINE","MAP1LC3A","FIBROMYALGIA","Medline_26772544,Pmcoa_4715288","Pmcoa_5915012,Pmcoa_2865373,Patent_US20100113379"
"565","CISATRACURIUM BESILATE","MAP1LC3A","FIBROMYALGIA","Medline_26772544,Pmcoa_4715288","Medline_27058536,Pmcoa_4848971"
"566","CHEMBL3330650","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Patent_US9962385,Patent_US09962385,Pmcoa_3700800"
"567","GEDATOLISIB","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Pmcoa_4896852,Medline_22261591"
"568","DABRAFENIB MESYLATE","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Pmcoa_5363577,Patent_EP3212791A1,Patent_US20170362661,Patent_US20170362661A1,Pmcoa_3049553,Pmcoa_3256981"
"569","GSK2118436A","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Pmcoa_5363577,Pmcoa_3049553,Pmcoa_3256981"
"570","DIMETHYLENE GLYCOL","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Patent_US20150284307,Patent_US9517984"
"571","TAK 733","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Medline_30396931,Clinicaltrial_NCT00948467,Patent_EP2830664A1,Patent_US20150126533,Patent_US9629850,Pmcoa_4468631,Pmcoa_4771970,Pmcoa_6143222,Pmcoa_5306265,Medline_22798288,Pmcoa_3641362,Pmcoa_4039128,Patent_US20150126533A1,Pmcoa_4741473,Medline_27650277,Pmcoa_3721402,Medline_26014721,Medline_29674718,Medline_22515704,Medline_25376610,Medline_26439693,Patent_US09629850,Medline_26918363,Pmcoa_5150652,Pmcoa_3444881,Pmcoa_3986540,Pmcoa_4521669,Pmcoa_4526591,Pmcoa_5938062,Medline_27169363,Pmcoa_4619530"
"572","TRAMETINIB DIMETHYL SULFOXIDE","MAP2K7","ARTHRITIS","Pmcoa_3392838,Medline_28890347","Pmcoa_3681492,Clinicaltrial_NCT02281760,Pmcoa_6214970,Pmcoa_5438648,Medline_26200476,Patent_EP3331558A1,Pmcoa_5347684,Pmcoa_5737399,Patent_US20180228740,Patent_US20180228740A1,Medline_23237773,Pmcoa_6281416"
"573","OTX 008","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Patent_US20140243415,Pmcoa_5796159,Medline_25042151"
"574","CARBOCISTEINE","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Patent_US9216163,Patent_US09216163,Pmcoa_4857541,Medline_26997568,Medline_25533503"
"575","DIHYDROXYPHENYLALANINE","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Medline_17662258,Medline_16139809"
"576","METRELEPTIN","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_4338590,Medline_26255263"
"577","ISOQUERCETIN","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_5377244,Medline_28413477"
"578","ACAMPROSATE","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Patent_US20160266120,Medline_29656315"
"579","4-(1,2-DIHYDROXYETHYL)BENZENE-1,2-DIOL","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_3742461,Pmcoa_3485740"
"580","METHYLCOBALAMIN","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_4523890,Medline_20045411,Medline_26300733"
"581","HU 211","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Medline_27757031,Pmcoa_5055126"
"582","5-IODOTUBERCIDIN","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_3102075,Pmcoa_3874650,Medline_12127491"
"583","AMINO PYRIMIDINE","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Patent_EP3041471A1,Patent_WO2015032840A1"
"584","JNJ 38877605","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_5609899,Pmcoa_5438713"
"585","I-BET762","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_5970200,Medline_28254412,Medline_29674704,Pmcoa_5908790"
"586","HE3286","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_3572652,Pmcoa_3286445"
"587","RICOLINOSTAT","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Medline_30050135,Pmcoa_6062526"
"588","17ALPHA ESTRADIOL","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Medline_17556531,Patent_US20050074777,Pmcoa_1064105"
"589","ESTRAMUSTINE","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_2375254,Medline_11720482"
"590","IMIDACLOPRID","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_6071809,Medline_29701941"
"591","SAKURANETIN","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Medline_27000529,Medline_22441335"
"592","RETOSIBAN","MAPK1","SCLERODERMA","Medline_27650973,Pmcoa_5030663,Medline_25889655,Pmcoa_3008687,Pmcoa_5811759,Patent_US20090221481","Pmcoa_5868409,Medline_29293998"
"593","IRSOGLADINE","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Medline_20096665,Medline_23306101"
"594","DALCETRAPIB","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Pmcoa_2676506,Medline_16159599"
"595","GREPAFLOXACIN","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Medline_12039887,Medline_15110391"
"596","CHEMBL56564","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Medline_22664143,Medline_23285267,Pmcoa_3532400"
"597","2-[(S)-[4-(3-METHOXYPROPOXY)-3-METHYLPYRIDIN-2-YL]METHANESULFINYL]-1H-1,3-BENZODIAZOLE","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Medline_20096665,Medline_23306101"
"598","BERBERINE CHLORIDE","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Pmcoa_3071726,Medline_21483684"
"599","CHEMBL1090090","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Patent_US20140079663,Patent_US20050191730,Patent_US7666622,Patent_US20070087411,Patent_EP1723173B1,Patent_EP1723173A1,Patent_WO2005085284A1,Patent_US7410781,Pmcoa_3170568,Pmcoa_3742641,Pmcoa_4994207,Pmcoa_5418932"
"600","PYRIDINYLIMIDAZOLE","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Patent_WO2003093487A1,Medline_12127515,Patent_EP1112070B1,Patent_WO2000070030A1,Patent_EP1112070A1,Patent_US6589758,Patent_WO2002094842A2,Patent_EP2395004B1,Patent_US20130303534,Patent_US7863288,Patent_US20130261117,Patent_US20150290205,Patent_US8470818,Patent_EP1893612A1,Patent_WO2007002433A1,Patent_EP2395004A2,Patent_US8415469,Patent_US20100249118,Patent_US8143271,Patent_US20110059963,Patent_EP3088400A1,Patent_US20100256365,Patent_US20120022098,Patent_US20120053177,Medline_11459290,Patent_US20060105445"
"601","SB220025","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Pmcoa_3789181,Pmcoa_3741369,Pmcoa_1402273,Medline_16504051,Pmcoa_3334633,Pmcoa_3617173,Medline_21350196,Pmcoa_3464290,Pmcoa_3302780,Pmcoa_5199115,Medline_18467433,Medline_23593143,Pmcoa_3469526,Patent_EP1856244B1,Patent_EP1856244A2,Medline_15222984,Patent_US20070072246,Patent_EP1668361A2,Medline_15966085,Patent_US20070072246A1,Pmcoa_3806860"
"602","DILMAPIMOD","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Medline_21576029,Medline_26102252"
"603","LOSMAPIMOD","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Medline_23239139,Medline_25751578,Medline_22974804,Medline_24699061,Medline_29566026,Pmcoa_5863984,Pmcoa_4310399,Pmcoa_5449523"
"604","TALMAPIMOD","MAPK14","ARTHRITIS","Pmcoa_2235846,Pmcoa_1860061,Medline_28674435,Medline_22488549","Pmcoa_5348443,Patent_WO2010119138A1,Patent_EP2419509A1,Pmcoa_4374066,Medline_17351344,Medline_18949619,Pmcoa_2441967"
"605","ANGIOTENSIN 1-7","MAS1","ARTHRITIS","Pmcoa_3272821,Pmcoa_4997264","Medline_28194766,Pmcoa_5462406,Pmcoa_6202343,Pmcoa_4692500,Pmcoa_5747466,Pmcoa_4582995"
"606","ISOSORBIDE DINITRATE","MB21D1","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_WO2016176222A1,Pmcoa_5463399","Patent_US20170296655,Patent_US20150343056,Patent_EP2934598A1,Patent_WO2014099824A1"
"607","MELANOTAN 1","MC3R","ARTHRITIS","Pmcoa_3342072,Pmcoa_3022199","Patent_EP1478331A1,Patent_WO2003072072A1,Patent_US20050142078"
"608","SAPANISERTIB","MCL1","CROHN'S DISEASE","Medline_18266233,Medline_28190086","Pmcoa_3931643,Pmcoa_4749542"
"609","AT7519","MCL1","CROHN'S DISEASE","Medline_18266233,Medline_28190086","Pmcoa_4891027,Pmcoa_3940382"
"610","SERDEMETAN","MDM2","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_29324237,Pmcoa_4451996,Medline_26090506,Medline_21949095","Patent_US20180280372,Pmcoa_3983616,Pmcoa_3765416,Pmcoa_4632320,Pmcoa_3089497,Pmcoa_4293924,Medline_24040331,Pmcoa_4204435,Pmcoa_4232645"
"611","CHEMBL2402737","MDM2","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_29324237,Pmcoa_4451996,Medline_26090506,Medline_21949095","Patent_US20160136280,Patent_EP3013316A1,Pmcoa_5814445,Patent_WO2014206866A1,Medline_29368050,Medline_27353420,Medline_29392451,Pmcoa_5652019,Medline_26993060,Medline_26586447,Pmcoa_5743003,Pmcoa_4924270,Pmcoa_5833874"
"612","CHEMBL3186011","MDM2","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_29324237,Pmcoa_4451996,Medline_26090506,Medline_21949095","Pmcoa_3382884,Pmcoa_4737887"
"613","QUINOLINOL","MDM2","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_29324237,Pmcoa_4451996,Medline_26090506,Medline_21949095","Medline_16789731,Patent_WO2017066245A1"
"614","RUCAPARIB","MDM2","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_29324237,Pmcoa_4451996,Medline_26090506,Medline_21949095","Pmcoa_6144150,Medline_30109783"
"615","CHEMBL3039523","MECP2","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_US20090246768,Pmcoa_3817542,Medline_26782401,Medline_18320046,Pmcoa_2253825","Medline_29755109,Patent_US20170291934"
"616","GABOXADOL","MECP2","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_US20090246768,Pmcoa_3817542,Medline_26782401,Medline_18320046,Pmcoa_2253825","Pmcoa_5269412,Pmcoa_5069883,Medline_28069353,Medline_28108647"
"617","FOTEMUSTINE","MGMT","SARCOIDOSIS","Pmcoa_3512464,Medline_23140380","Medline_20556481,Pmcoa_4350346"
"618","CARMUSTINE","MGMT","SARCOIDOSIS","Pmcoa_3512464,Medline_23140380","Medline_30449727,Medline_22627392,Pmcoa_2936684"
"619","6-O-BENZYLGUANINE","MGMT","SARCOIDOSIS","Pmcoa_3512464,Medline_23140380","Pmcoa_5655675,Patent_US20100203531,Pmcoa_4633945"
"620","MEGESTROL","MIR34A","AGE RELATED OSTEOPOROSIS","Patent_US20160201056,Patent_WO2015026611A1,Pmcoa_4149606,Patent_WO2017050848A1,Medline_25043055,Pmcoa_5000714,Pmcoa_4600156,Pmcoa_5327426,Pmcoa_5349985,Pmcoa_5454890,Pmcoa_5547976","Patent_EP3160980A1,Patent_WO2015183667A1"
"621","LOPINAVIR & RITONAVIR","MIR34A","AGE RELATED OSTEOPOROSIS","Patent_US20160201056,Patent_WO2015026611A1,Pmcoa_4149606,Patent_WO2017050848A1,Medline_25043055,Pmcoa_5000714,Pmcoa_4600156,Pmcoa_5327426,Pmcoa_5349985,Pmcoa_5454890,Pmcoa_5547976","Pmcoa_5270669,Medline_27889708"
"622","ES 52","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Pmcoa_3992129,Pmcoa_3636612,Medline_16405511,Pmcoa_5030486"
"623","C[C@H](N=C(O)[C@@H](CC(O)=NO)Cc1ccccc1)C(O)=O","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Patent_US20100203084,Patent_WO2008060381A2,Patent_EP2125008A2"
"624","CANDOXATRIL","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Medline_9766707,Medline_11476744,Medline_1531753,Medline_8149689,Medline_9010697,Pmcoa_3765630,Pmcoa_3181606,Pmcoa_5297869,Medline_7781662,Pmcoa_5766980,Patent_US08658620,Medline_1321186,Medline_20862277,Medline_15126240,Pmcoa_2940827,Medline_10577447,Medline_7925877,Medline_9821842,Patent_US5292741,Medline_10937982,Medline_11300648,Medline_16642666,Medline_8060926,Medline_9886723,Patent_EP0668864A1,Patent_US20100286087,Patent_US20110112032A1,Medline_8275621,Medline_1316400,Patent_US8658620,Pmcoa_3040694,Medline_24560177,Medline_2611529,Medline_11254898,Medline_16003188,Medline_18379655,Medline_1829902,Medline_8696950,Patent_US20110112032,Medline_1315825,Medline_7511759,Patent_EP2241315A1,Patent_EP2241315B1,Pmcoa_2267894,Pmcoa_4720902"
"625","TEMOCAPRIL","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Patent_EP2665701A2,Patent_US20100311800,Patent_WO2011100384A1,Patent_WO2012122077A1,Patent_EP2250168B1,Patent_EP2498605B1,Patent_EP2683687B1,Patent_EP2244575B1,Patent_EP2225225A2,Patent_EP2250158A2,Patent_EP2485734B1,Patent_EP2250168A2,Patent_EP2291076A1,Patent_EP2326652B1,Patent_EP2369924A1,Patent_EP2373630A1,Patent_EP2571351A1,Patent_EP2632255B1,Patent_EP2533644A1,Patent_US20100029678,Patent_EP2121664A2,Patent_EP1874302A1,Patent_EP2313417A1,Patent_EP2121665A2,Patent_EP2244575A1,Patent_EP2121664B1,Patent_EP2533644B1,Patent_US20100144810,Patent_US20120208838,Patent_US20110160229,Patent_US20110230532,Patent_EP2121665B1,Patent_EP2498605A1,Patent_US20130053352,Patent_EP2334179A1,Patent_EP2326652A1,Patent_EP2369924B1,Patent_EP2571351B1,Patent_EP2632255A1,Patent_EP2704568A1,Patent_US8252825,Patent_US20090123538,Patent_US20100273845,Patent_US20100298277,Patent_US20100305135,Patent_US7947664,Patent_US8354394,Patent_US8361994,Patent_US20130059823,Patent_US20140088048,Patent_US8053455,Patent_US20100152259,Patent_US20100292192,Patent_US20120238608,Patent_US20130296278,Patent_US20080194660,Patent_US20100152258,Patent_US20110065765,Patent_US8329697,Patent_US8629275,Patent_US9108920,Patent_EP2257161B1,Patent_EP2485734A1,Patent_EP2683687A1,Patent_US20110201621,Patent_US8367711,Patent_US8623846,Patent_US20120232039,Patent_US9272987,Patent_US7834042,Patent_WO2009099853A2,Patent_WO2009106470A2,Patent_WO2010027935A1,Patent_WO2012151114A1,Patent_WO2009070241A2,Patent_WO2011146371A1,Patent_US20110077279,Patent_US20130289003,Patent_US7880014,Patent_US8293777,Patent_US8648058,Patent_WO2012099770A2,Patent_WO2010015447A1,Patent_WO2010062415A1,Patent_WO2011053519A1,Patent_WO2012058203A1,Patent_US8106034,Patent_US8119806,Patent_US8207208,Patent_US8530521,Patent_US20120202845,Patent_WO2010014516A1,Patent_US8377911,Patent_WO2009150007A1,Patent_WO2008076246A2,Patent_WO2009094242A1,Patent_WO2011043914A1,Patent_WO2010065432A1,Patent_WO2006115834A1,Patent_WO2008076245A2,Patent_WO2009140111A1,Medline_15897363"
"626","RACECADOTRIL","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Pmcoa_3362754,Medline_12106279,Medline_1348542,Medline_3121843,Patent_EP1718337A1,Medline_2018165,Medline_8488368,Patent_EP1563848A1,Medline_26907621,Medline_2758762,Medline_27642742,Medline_2780419,Patent_US8222294,Pmcoa_3085874,Medline_3131801,Patent_EP3212211A1,Medline_2612837,Medline_3532054,Medline_9355786,Pmcoa_4851326,Medline_10944563,Medline_1624154,Medline_1780043,Medline_2142087,Medline_2702924,Medline_2790459,Medline_7509244,Medline_1788138,Medline_19610134,Medline_3554169,Patent_US20070275993A1,Pmcoa_3694821,Medline_1285638,Medline_10646048,Medline_1350927,Medline_19300128,Medline_22661949,Medline_8804878,Medline_10717503,Medline_1666049,Medline_2716968,Medline_10646045,Medline_10717505,Patent_EP1718337B1,Pmcoa_3561631,Medline_2142086,Medline_3519939,Medline_1376694,Medline_27209450,Patent_US20180371007A1,Pmcoa_6356888,Medline_26731112,Pmcoa_3875871,Medline_1421123,Patent_US10022349,Patent_EP3331520A1,Patent_US20160120834,Patent_US20150342882,Patent_US20150342882A1,Medline_7473405"
"627","CANDOXATRILAT","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Patent_US20050261179,Patent_EP1545287A2,Patent_WO2004032708A2,Patent_EP1545287B1,Patent_US7364719,Medline_16821800,Patent_WO2007003594A1,Patent_WO2004056787A1,Medline_12941780,Medline_10595958,Patent_EP1581480A1,Patent_US20050075392,Medline_18725584,Medline_9639376,Patent_EP1578735A1,Patent_US8993631,Pmcoa_4869613,Patent_US7045653,Medline_29591681,Patent_WO2012065958A1,Medline_12354448,Patent_US20120122844,Patent_US20140336194,Patent_EP2640375A1,Pmcoa_3181606,Patent_WO2004056750A1,Pmcoa_2643003,Medline_9729514,Patent_EP1581480B1,Patent_US20040138274"
"628","DAGLUTRIL","MME","CHRONIC ULCERATIVE COLITIS","Medline_29232715,Pmcoa_5726735","Patent_EP2037890A1,Pmcoa_5766980,Medline_22480515,Patent_US20070299054,Patent_US20070299054A1,Pmcoa_4815360"
"629","PRINOMASTAT","MMP14","ARTHRITIS","Pmcoa_4773521,Pmcoa_4738413,Patent_US20070217997","Medline_12594807,Pmcoa_1557720"
"630","CHEMBL3545407","MMP14","ARTHRITIS","Pmcoa_4773521,Pmcoa_4738413,Patent_US20070217997","Medline_29346804,Pmcoa_5774255"
"631","AG-3340","MMP14","ARTHRITIS","Pmcoa_4773521,Pmcoa_4738413,Patent_US20070217997","Patent_WO2008140577A2,Patent_US20070203244,Pmcoa_1557720"
"632","SC-44463","MMP7","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_17854363,Pmcoa_2656222","Pmcoa_3406945,Medline_22642296"
"633","SILDENAFIL CITRATE","MPZ","CHRONIC ULCERATIVE COLITIS","Patent_EP2351564A1,Patent_US9023885,Pmcoa_4997980,Pmcoa_3848334","Pmcoa_4166756,Pmcoa_3813774"
"634","PHOSPHOCHOLINE","MPZ","CHRONIC ULCERATIVE COLITIS","Patent_EP2351564A1,Patent_US9023885,Pmcoa_4997980,Pmcoa_3848334","Pmcoa_3136659,Patent_US20110212994,Patent_US20130012557"
"635","TRABECTEDIN","MRC1","SARCOIDOSIS","Medline_21029423,Pmcoa_2987761","Medline_30591422,Pmcoa_6314218"
"636","TASQUINIMOD","MRC1","SARCOIDOSIS","Medline_21029423,Pmcoa_2987761","Medline_25370534,Pmcoa_4678646"
"637","CETRIMONIUM BROMIDE","MSN","SJOGREN'S SYNDROME","Medline_29557737,Patent_EP2624851B1,Patent_WO2012045273A1,Patent_US20130210678,Patent_US9632098,Patent_EP2624851A1","Pmcoa_5476610,Patent_US20100196971,Patent_US8361623,Patent_WO2010088001A2"
"638","CROMOLYN","MSN","SJOGREN'S SYNDROME","Medline_29557737,Patent_EP2624851B1,Patent_WO2012045273A1,Patent_US20130210678,Patent_US9632098,Patent_EP2624851A1","Medline_10945828,Patent_US20090062319A1,Patent_US8252807"
"639","DOXORUBICIN HYDROCHLORIDE","MSN","SJOGREN'S SYNDROME","Medline_29557737,Patent_EP2624851B1,Patent_WO2012045273A1,Patent_US20130210678,Patent_US9632098,Patent_EP2624851A1","Medline_23598077,Medline_28776488,Pmcoa_4299401"
"640","MYO-029","MSTN","ARTHRITIS","Pmcoa_5134126,Medline_26260762","Patent_EP2215118A1,Patent_US20090148436,Patent_US9850301,Patent_US8415459,Patent_US9409981,Patent_EP2805970A2,Patent_US20140023638,Patent_US20170145084,Patent_EP2215118B1,Patent_WO2009058346A1,Medline_19086063"
"641","LANDOGROZUMAB","MSTN","ARTHRITIS","Pmcoa_5134126,Medline_26260762","Pmcoa_4757731,Medline_26516121"
"642","AFAMELANOTIDE","MSX2","PSORIASIS","Pmcoa_5715373,Patent_WO2015067503A1","Patent_US9439926,Patent_US20160045545"
"643","B 2134","MSX2","PSORIASIS","Pmcoa_5715373,Patent_WO2015067503A1","Medline_206851,Medline_2419116"
